名前,タイプ1,タイプ2
ドリュウズ,じめん,はがね
タブンネ,ノーマル,
ドッコラー,かくとう,
ドテッコツ,かくとう,
ローブシン,かくとう,
オタマロ,みず,
ガマガル,みず,じめん
ガマゲロゲ,みず,じめん
ナゲキ,かくとう,
ダゲキ,かくとう,
クルミル,むし,くさ
クルマユ,むし,くさ
ハハコモリ,むし,くさ
フシデ,むし,どく
ホイーガ,むし,どく
ペンドラー,むし,どく
モンメン,くさ,フェアリー
エルフーン,くさ,フェアリー
チュリネ,くさ,
ドレディア,くさ,
バスラオ,みず,
メグロコ,じめん,あく
ワルビル,じめん,あく
ワルビアル,じめん,あく
ダルマッカ,ほのお,
ヒヒダルマ,ほのお,
マラカッチ,くさ,
イシズマイ,むし,いわ
イワパレス,むし,いわ
ズルッグ,あく,かくとう
ズルズキン,あく,かくとう
シンボラー,エスパー,ひこう
デスマス,ゴースト,
デスカーン,ゴースト,
プロトーガ,みず,いわ
アバゴーラ,みず,いわ
アーケン,いわ,ひこう
アーケオス,いわ,ひこう
ヤブクロン,どく,
ダストダス,どく,
ゾロア,あく,
ゾロアーク,あく,
チラーミィ,ノーマル,
チラチーノ,ノーマル,
ゴチム,エスパー,
ゴチミル,エスパー,
ゴチルゼル,エスパー,
ユニラン,エスパー,
ダブラン,エスパー,
ランクルス,エスパー,
コアルヒー,みず,ひこう
スワンナ,みず,ひこう
バニプッチ,こおり,
バニリッチ,こおり,
バイバニラ,こおり,
シキジカ,ノーマル,くさ
メブキジカ,ノーマル,くさ
エモンガ,でんき,ひこう
カブルモ,むし,
シュバルゴ,むし,はがね
タマゲタケ,くさ,どく
モロバレル,くさ,どく
プルリル,みず,ゴースト
ブルンゲル,みず,ゴースト
ママンボウ,みず,
バチュル,むし,でんき
デンチュラ,むし,でんき
テッシード,くさ,はがね
ナットレイ,くさ,はがね
ギアル,はがね,
ギギアル,はがね,
ギギギアル,はがね,
シビシラス,でんき,
シビビール,でんき,
シビルドン,でんき,
リグレー,エスパー,
オーベム,エスパー,
ヒトモシ,ゴースト,ほのお
ランプラー,ゴースト,ほのお
シャンデラ,ゴースト,ほのお
キバゴ,ドラゴン,
オノンド,ドラゴン,
オノノクス,ドラゴン,
クマシュン,こおり,
ツンベアー,こおり,
フリージオ,こおり,
チョボマキ,むし,
アギルダー,むし,
マッギョ,じめん,でんき
コジョフー,かくとう,
コジョンド,かくとう,
クリムガン,ドラゴン,
ゴビット,じめん,ゴースト
ゴルーグ,じめん,ゴースト
コマタナ,あく,はがね
キリキザン,あく,はがね
バッフロン,ノーマル,
ワシボン,ノーマル,ひこう
ウォーグル,ノーマル,ひこう
バルチャイ,あく,ひこう
バルジーナ,あく,ひこう
クイタラン,ほのお,
アイアント,むし,はがね
モノズ,あく,ドラゴン
ジヘッド,あく,ドラゴン
サザンドラ,あく,ドラゴン
メラルバ,むし,ほのお
ウルガモス,むし,ほのお
コバルオン,はがね,かくとう
テラキオン,いわ,かくとう
ビリジオン,くさ,かくとう
トルネロス,ひこう,
ボルトロス,でんき,ひこう
レシラム,ドラゴン,ほのお
ゼクロム,ドラゴン,でんき
ランドロス,じめん,ひこう
キュレム,ドラゴン,こおり
ケルディオ,みず,かくとう
メロエッタ,ノーマル,エスパー
ゲノセクト,むし,はがね
ハリマロン,くさ,
ハリボーグ,くさ,
ブリガロン,くさ,かくとう
フォッコ,ほのお,
テールナー,ほのお,
マフォクシー,ほのお,エスパー
ケロマツ,みず,
ゲコガシラ,みず,
ゲッコウガ,みず,あく
ホルビー,ノーマル,
ホルード,ノーマル,じめん
ヤヤコマ,ノーマル,ひこう
ヒノヤコマ,ほのお,ひこう
ファイアロー,ほのお,ひこう
コフキムシ,むし,
コフーライ,むし,
ビビヨン,むし,ひこう
シシコ,ほのお,ノーマル
カエンジシ,ほのお,ノーマル
フラベベ,フェアリー,
フラエッテ,フェアリー,
フラージェス,フェアリー,
メェークル,くさ,
ゴーゴート,くさ,
ヤンチャム,かくとう,
ゴロンダ,かくとう,あく
トリミアン,ノーマル,
ニャスパー,エスパー,
ニャオニクス,エスパー,
ヒトツキ,はがね,ゴースト
ニダンギル,はがね,ゴースト
ギルガルド,はがね,ゴースト
シュシュプ,フェアリー,
フレフワン,フェアリー,
ペロッパフ,フェアリー,
ペロリーム,フェアリー,
マーイーカ,あく,エスパー
カラマネロ,あく,エスパー
カメテテ,いわ,みず
ガメノデス,いわ,みず
クズモー,どく,みず
ドラミドロ,どく,ドラゴン
ウデッポウ,みず,
ブロスター,みず,
エリキテル,でんき,ノーマル
エレザード,でんき,ノーマル
チゴラス,いわ,ドラゴン
ガチゴラス,いわ,ドラゴン
アマルス,いわ,こおり
アマルルガ,いわ,こおり
ニンフィア,フェアリー,
ルチャブル,かくとう,ひこう
デデンネ,でんき,フェアリー
メレシー,いわ,フェアリー
ヌメラ,ドラゴン,
ヌメイル,ドラゴン,
ヌメルゴン,ドラゴン,
クレッフィ,はがね,フェアリー
ボクレー,ゴースト,くさ
オーロット,ゴースト,くさ
バケッチャ,ゴースト,くさ
パンプジン,ゴースト,くさ
カチコール,こおり,
クレベース,こおり,
オンバット,ひこう,ドラゴン
オンバーン,ひこう,ドラゴン
ゼルネアス,フェアリー,
イベルタル,あく,ひこう
ジガルデ,ドラゴン,じめん
ディアンシー,いわ,フェアリー
フーパ,エスパー,ゴースト
ボルケニオン,ほのお,みず
モクロー,くさ,ひこう
フクスロー,くさ,ひこう
ジュナイパー,くさ,ゴースト
ニャビー,ほのお,
ニャヒート,ほのお,
ガオガエン,ほのお,あく
アシマリ,みず,
オシャマリ,みず,
アシレーヌ,みず,フェアリー
ツツケラ,ノーマル,ひこう
ケララッパ,ノーマル,ひこう
ドデカバシ,ノーマル,ひこう
ヤングース,ノーマル,
デカグース,ノーマル,
アゴジムシ,むし,
デンヂムシ,むし,でんき
クワガノン,むし,でんき
マケンカニ,かくとう,
ケケンカニ,かくとう,こおり
オドリドリ,ほのお,ひこう
アブリー,むし,フェアリー
アブリボン,むし,フェアリー
イワンコ,いわ,
ルガルガン,いわ,
ヨワシ,みず,
ヒドイデ,どく,みず
ドヒドイデ,どく,みず
ドロバンコ,じめん,
バンバドロ,じめん,
シズクモ,みず,むし
オニシズクモ,みず,むし
カリキリ,くさ,
ラランテス,くさ,
ネマシュ,くさ,フェアリー
マシェード,くさ,フェアリー
ヤトウモリ,どく,ほのお
エンニュート,どく,ほのお
ヌイコグマ,ノーマル,かくとう
キテルグマ,ノーマル,かくとう
アマカジ,くさ,
アママイコ,くさ,
アマージョ,くさ,
キュワワー,フェアリー,
ヤレユータン,ノーマル,エスパー
ナゲツケサル,かくとう,
コソクムシ,むし,みず
グソクムシャ,むし,みず
スナバァ,ゴースト,じめん
シロデスナ,ゴースト,じめん
ナマコブシ,みず,
タイプ:ヌル,ノーマル,
シルヴァディ,ノーマル,
メテノ,いわ,ひこう
ネッコアラ,ノーマル,
バクガメス,ほのお,ドラゴン
トゲデマル,でんき,はがね
ミミッキュ,ゴースト,フェアリー
ハギギシリ,みず,エスパー
ジジーロン,ノーマル,ドラゴン
ダダリン,ゴースト,くさ
ジャラコ,ドラゴン,
ジャランゴ,ドラゴン,かくとう
ジャラランガ,ドラゴン,かくとう
カプ・コケコ,でんき,フェアリー
カプ・テテフ,エスパー,フェアリー
カプ・ブルル,くさ,フェアリー
カプ・レヒレ,みず,フェアリー
コスモッグ,エスパー,
コスモウム,エスパー,
ソルガレオ,エスパー,はがね
ルナアーラ,エスパー,ゴースト
ウツロイド,いわ,どく
マッシブーン,むし,かくとう
フェローチェ,むし,かくとう
デンジュモク,でんき,
テッカグヤ,はがね,ひこう
カミツルギ,くさ,はがね
アクジキング,あく,ドラゴン
ネクロズマ,エスパー,
マギアナ,はがね,フェアリー
マーシャドー,かくとう,ゴースト
ベベノム,どく,
アーゴヨン,どく,ドラゴン
ツンデツンデ,いわ,はがね
ズガドーン,ほのお,ゴースト
ゼラオラ,でんき,
メルタン,はがね,
メルメタル,はがね,
サルノリ,くさ,
バチンキー,くさ,
ゴリランダー,くさ,
ヒバニー,ほのお,
ラビフット,ほのお,
エースバーン,ほのお,
メッソン,みず,
ジメレオン,みず,
インテレオン,みず,
ホシガリス,ノーマル,
ヨクバリス,ノーマル,
ココガラ,ひこう,
アオガラス,ひこう,
アーマーガア,ひこう,はがね
サッチムシ,むし,
レドームシ,むし,エスパー
イオルブ,むし,エスパー
クスネ,あく,
フォクスライ,あく,
ヒメンカ,くさ,
ワタシラガ,くさ,
ウールー,ノーマル,
バイウールー,ノーマル,
カムカメ,みず,
カジリガメ,みず,いわ
ワンパチ,でんき,
パルスワン,でんき,
タンドン,いわ,
トロッゴン,いわ,ほのお
セキタンザン,いわ,ほのお
カジッチュ,くさ,ドラゴン
アップリュー,くさ,ドラゴン
タルップル,くさ,ドラゴン
スナヘビ,じめん,
サダイジャ,じめん,
ウッウ,ひこう,みず
サシカマス,みず,
カマスジョー,みず,
エレズン,でんき,どく
ストリンダー,でんき,どく
ヤクデ,ほのお,むし
マルヤクデ,ほのお,むし
タタッコ,かくとう,
オトスパス,かくとう,
ヤバチャ,ゴースト,
ポットデス,ゴースト,
ミブリム,エスパー,
テブリム,エスパー,
ブリムオン,エスパー,フェアリー
ベロバー,あく,フェアリー
ギモー,あく,フェアリー
オーロンゲ,あく,フェアリー
タチフサグマ,あく,ノーマル
ニャイキング,はがね,
サニゴーン,ゴースト,
ネギガナイト,かくとう,
バリコオル,こおり,エスパー
デスバーン,じめん,ゴースト
マホミル,フェアリー,
マホイップ,フェアリー,
タイレーツ,かくとう,
バチンウニ,でんき,
ユキハミ,こおり,むし
モスノウ,こおり,むし
イシヘンジン,いわ,
コオリッポ,こおり,
イエッサン,エスパー,ノーマル
モルペコ,でんき,あく
ゾウドウ,はがね,
ダイオウドウ,はがね,
パッチラゴン,でんき,ドラゴン
パッチルドン,でんき,こおり
ウオノラゴン,みず,ドラゴン
ウオチルドン,みず,こおり
ジュラルドン,はがね,ドラゴン
ドラメシヤ,ドラゴン,ゴースト
ドロンチ,ドラゴン,ゴースト
ドラパルト,ドラゴン,ゴースト
ザシアン,フェアリー,
ザマゼンタ,かくとう,
ムゲンダイナ,どく,ドラゴン
ダクマ,かくとう,
ウーラオス,かくとう,あく
ザルード,あく,くさ
レジエレキ,でんき,
レジドラゴ,ドラゴン,
ブリザポス,こおり,
レイスポス,ゴースト,
バドレックス,エスパー,くさ
アヤシシ,ノーマル,エスパー
バサギリ,むし,いわ
ガチグマ,じめん,ノーマル
イダイトウ,みず,ゴースト
オオニューラ,かくとう,どく
ハリーマン,あく,どく
ラブトロス,フェアリー,ひこう
ニャオハ,くさ,
ニャローテ,くさ,
マスカーニャ,くさ,あく
ホゲータ,ほのお,
アチゲータ,ほのお,
ラウドボーン,ほのお,ゴースト
クワッス,みず,
ウェルカモ,みず,
ウェーニバル,みず,かくとう
グルトン,ノーマル,
パフュートン,ノーマル,
タマンチュラ,むし,
ワナイダー,むし,
マメバッタ,むし,
エクスレッグ,むし,あく
パモ,でんき,
パモット,でんき,かくとう
パーモット,でんき,かくとう
ワッカネズミ,ノーマル,
イッカネズミ,ノーマル,
パピモッチ,フェアリー,
バウッツェル,フェアリー,
ミニーブ,くさ,ノーマル
オリーニョ,くさ,ノーマル
オリーヴァ,くさ,ノーマル
イキリンコ,ノーマル,ひこう
コジオ,いわ,
ジオヅム,いわ,
キョジオーン,いわ,
カルボウ,ほのお,
グレンアルマ,ほのお,エスパー
ソウブレイズ,ほのお,ゴースト
ズピカ,でんき,
ハラバリー,でんき,
カイデン,でんき,ひこう
タイカイデン,でんき,ひこう
オラチフ,あく,
マフィティフ,あく,
シルシュルー,どく,ノーマル
タギングル,どく,ノーマル
アノクサ,くさ,ゴースト
アノホラグサ,くさ,ゴースト
ノノクラゲ,じめん,くさ
リククラゲ,じめん,くさ
ガケガニ,いわ,
カプサイジ,くさ,
スコヴィラン,くさ,ほのお
シガロコ,むし,
ベラカス,むし,エスパー
ヒラヒナ,エスパー,
クエスパトラ,エスパー,
カヌチャン,フェアリー,はがね
ナカヌチャン,フェアリー,はがね
デカヌチャン,フェアリー,はがね
ウミディグダ,みず,
ウミトリオ,みず,
オトシドリ,ひこう,あく
ナミイルカ,みず,
イルカマン,みず,
ブロロン,はがね,どく
ブロロローム,はがね,どく
モトトカゲ,ドラゴン,ノーマル
ミミズズ,はがね,
キラーメ,いわ,どく
キラフロル,いわ,どく
ボチ,ゴースト,
ハカドッグ,ゴースト,
カラミンゴ,ひこう,かくとう
アルクジラ,こおり,
ハルクジラ,こおり,
ミガルーサ,みず,エスパー
ヘイラッシャ,みず,
シャリタツ,ドラゴン,みず
コノヨザル,かくとう,ゴースト
ドオー,どく,じめん
リキキリン,ノーマル,エスパー
ノココッチ,ノーマル,
ドドゲザン,あく,はがね
イダイナキバ,じめん,かくとう
サケブシッポ,フェアリー,エスパー
アラブルタケ,くさ,あく
ハバタクカミ,ゴースト,フェアリー
チヲハウハネ,むし,かくとう
スナノケガワ,でんき,じめん
テツノワダチ,じめん,はがね
テツノツツミ,こおり,みず
テツノカイナ,かくとう,でんき
テツノコウベ,あく,ひこう
テツノドクガ,ほのお,どく
テツノイバラ,いわ,でんき
セビエ,ドラゴン,こおり
セゴール,ドラゴン,こおり
セグレイブ,ドラゴン,こおり
コレクレー,ゴースト,
サーフゴー,はがね,ゴースト
チオンジェン,あく,くさ
パオジアン,あく,こおり
ディンルー,あく,じめん
イーユイ,あく,ほのお
トドロクツキ,ドラゴン,あく
テツノブジン,フェアリー,かくとう
コライドン,かくとう,ドラゴン
ミライドン,でんき,ドラゴン
ウネルミナモ,みず,ドラゴン
テツノイサハ,くさ,エスパー
カミッチュ,くさ,ドラゴン
チャデス,くさ,ゴースト
ヤバソチャ,くさ,ゴースト
イイネイヌ,どく,かくとう
マシマシラ,どく,エスパー
キチキギス,どく,フェアリー
オーガポン,くさ,
ブリジュラス,はがね,ドラゴン
カミツオロチ,くさ,ドラゴン
ウガツホムラ,ほのお,ドラゴン
タケルライコ,でんき,ドラゴン
テツノイワオ,いわ,エスパー
テツノカシラ,はがね,エスパー
テラパゴス,ノーマル,
モモワロウ,どく,ゴースト
